case_id,target_label,target_chembl_id,target_name,target_organism,endpoint,compound_id_a,compound_id_b,canonical_smiles_a,canonical_smiles_b,median_pactivity_a,median_pactivity_b,delta_pactivity,tanimoto_ecfp4,fingerprint_distance,sali,activity_cliff_flag,duplicate_structure_flag,more_active_compound_id,less_active_compound_id,more_active_pactivity,less_active_pactivity,record_count_a,record_count_b,doi_count_a,doi_count_b
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL1940738,CHEMBL1940737,COc1cc2oc(=O)c(OCCCCOc3cc(O)cc(N(C)C)c3)c(C)c2cc1OC,COc1cc2c(C)c(OC)c(=O)oc2cc1OCCCCOc1cc(O)cc(N(C)C)c1,9.63,6.56,3.070000000000001,0.8888888888888888,0.1111111111111111,27.63,1,0,CHEMBL1940738,CHEMBL1940737,9.63,6.56,1,1,1,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL3322160,CHEMBL3322158,O=C(Cc1cc(=O)oc2cc(O)ccc12)NCCCCNc1c2c(nc3ccccc13)CCCC2,O=C(Cc1cc(=O)oc2cc(O)ccc12)NCCNc1c2c(nc3ccccc13)CCCC2,7.81,5.54,2.27,0.90625,0.09375,24.213333333333328,1,0,CHEMBL3322160,CHEMBL3322158,7.81,5.54,1,1,1,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL1084883,CHEMBL3827765,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,CCCCCCc1ccc(NC(=O)Oc2cccc(CN(C)CCCOc3ccc4ccc(=O)oc4c3)c2)cc1,7.89,5.42,2.47,0.7777777777777778,0.2222222222222222,11.115,1,0,CHEMBL1084883,CHEMBL3827765,7.89,5.42,1,1,1,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL3828054,CHEMBL3827950,O=C(NCCCCCc1ccccc1)Oc1ccc(Cn2cc(COc3ccc4ccc(=O)oc4c3)nn2)cc1,O=C(NCCCCCc1ccccc1)Oc1ccc(-n2cc(COc3ccc4ccc(=O)oc4c3)nn2)cc1,6.59,4.32,2.27,0.7945205479452054,0.2054794520547945,11.047333333333327,1,0,CHEMBL3828054,CHEMBL3827950,6.59,4.32,1,1,1,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL75121,CHEMBL242906,COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC,COc1cc2cc(-c3ccc(CN(C)Cc4ccc([N+](=O)[O-])cc4)cc3)c(=O)oc2cc1OC,7.35,4.61,2.7399999999999998,0.75,0.25,10.959999999999996,1,0,CHEMBL75121,CHEMBL242906,7.35,4.61,9,1,9,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL340625,CHEMBL3827765,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,CCCCCCc1ccc(NC(=O)Oc2cccc(CN(C)CCCOc3ccc4ccc(=O)oc4c3)c2)cc1,8.24,5.42,2.8200000000000003,0.7183098591549296,0.2816901408450704,10.011000000000005,1,0,CHEMBL340625,CHEMBL3827765,8.24,5.42,2,1,2,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL3828693,CHEMBL3827765,CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3ccc(=O)oc3c2)c1,CCCCCCc1ccc(NC(=O)Oc2cccc(CN(C)CCCOc3ccc4ccc(=O)oc4c3)c2)cc1,7.95,5.42,2.53,0.7432432432432432,0.2567567567567568,9.853684210526316,1,0,CHEMBL3828693,CHEMBL3827765,7.95,5.42,1,1,1,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL128551,CHEMBL3827765,CCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,CCCCCCc1ccc(NC(=O)Oc2cccc(CN(C)CCCOc3ccc4ccc(=O)oc4c3)c2)cc1,7.85,5.42,2.43,0.75,0.25,9.72,1,0,CHEMBL128551,CHEMBL3827765,7.85,5.42,2,1,2,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL3322160,CHEMBL3322161,O=C(Cc1cc(=O)oc2cc(O)ccc12)NCCCCNc1c2c(nc3ccccc13)CCCC2,O=C(Cc1cc(=O)oc2cc(O)ccc12)NNC(=S)Nc1c2c(nc3ccccc13)CCCC2,7.81,5.09,2.72,0.7083333333333334,0.2916666666666666,9.325714285714286,1,0,CHEMBL3322160,CHEMBL3322161,7.81,5.09,1,1,1,1
ACHE_HUMAN_IC50,Human AChE,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL440526,CHEMBL3827765,CCCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,CCCCCCc1ccc(NC(=O)Oc2cccc(CN(C)CCCOc3ccc4ccc(=O)oc4c3)c2)cc1,7.43,5.42,2.01,0.7777777777777778,0.2222222222222222,9.045,1,0,CHEMBL440526,CHEMBL3827765,7.43,5.42,1,1,1,1
