case_id,target_label,case_priority,target_chembl_id,target_name,target_organism,endpoint,compound_id,canonical_smiles,inchi_key,median_pactivity,mean_pactivity,std_pactivity,min_pactivity,max_pactivity,pactivity_range_within_duplicate_records,record_count_for_compound,doi_count_for_compound,doi_list,year_min,year_max,record_id_list,smiles_missing,duplicate_activity_flag
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL75121,COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4)cc3)c(=O)oc2cc1OC,KXMCSAUVAHKCOR-UHFFFAOYSA-N,7.35,7.351111111111111,0.0033333333333335586,7.35,7.36,0.010000000000000675,9,9,10.1016/j.bmc.2010.01.071; 10.1016/j.bmc.2016.07.061; 10.1016/j.bmc.2017.05.043; 10.1016/j.bmcl.2007.09.100; 10.1016/j.ejmech.2018.05.031; 10.1021/jm0340602; 10.1021/jm0496741; 10.1021/jm070100g; 10.1021/jm7009364,2003,2018,1197605; 1517917; 18255378; 18429861; 1915642; 19444802; 2077398; 2087474; 3126505,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL2314726,COc1cc2cc(NC(=O)[C@H]3CCC[C@@H](NCc4ccccc4)C3)c(=O)oc2cc1OC,UGTGSTDFYWUXNH-PKOBYXMFSA-N,7.37,7.076666666666667,0.5697660338536631,6.42,7.44,1.0200000000000005,3,2,10.1016/j.bmc.2012.10.045; 10.1021/acsmedchemlett.9b00656,2013,2020,12633691; 20652099; 20652100,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL4571763,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O,HKIDXMKKZYHFEM-UHFFFAOYSA-N,5.89,5.923333333333333,0.14294521094927728,5.8,6.08,0.28000000000000025,3,2,10.1021/acs.jmedchem.1c01784; 10.1021/acsmedchemlett.2c00001,2022,2022,24422276; 24804534; 24804535,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL244416,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OC)c(OC)cc3oc2=O)cc1,PNZIOQNBQOTGPK-UHFFFAOYSA-N,7.74,7.743333333333333,0.005773502691896135,7.74,7.75,0.009999999999999787,3,3,10.1016/j.bmc.2016.07.061; 10.1016/j.bmcl.2007.09.100; 10.1021/jm070100g,2007,2016,1915658; 19444801; 2087475,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,QXKHYNVANLEOEG-UHFFFAOYSA-N,5.195,5.195,1.3081475451951132,4.27,6.12,1.8500000000000005,2,2,10.1016/j.bmcl.2013.04.081; 10.1021/np000441w,2001,2013,13371829; 2192250,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL2441681,COc1ccc(C(F)(F)F)c[n+]1CCCCOc1ccc2c(C)cc(=O)oc2c1.O=S(=O)([O-])C(F)(F)F,FIRPLAXRQZWEEH-UHFFFAOYSA-M,6.04,6.04,0.1131370849898477,5.96,6.12,0.16000000000000014,2,1,10.1016/j.bmcl.2013.09.008,2013,2013,13509757; 13509789,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL2441682,COc1ccc(C(F)(F)F)c[n+]1CCCCCOc1ccc2c(C)cc(=O)oc2c1.O=S(=O)([O-])C(F)(F)F,KOFNHFQRLFTDHJ-UHFFFAOYSA-M,6.0649999999999995,6.0649999999999995,0.10606601717798175,5.99,6.14,0.14999999999999947,2,1,10.1016/j.bmcl.2013.09.008,2013,2013,13509756; 13509788,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL2440134,COc1c(F)c[n+](CCCCOc2ccc3c(C)cc(=O)oc3c2)cc1F.O=S(=O)([O-])C(F)(F)F,XRUAEVWJKITXIG-UHFFFAOYSA-M,6.220000000000001,6.220000000000001,0.08485281374238578,6.16,6.28,0.1200000000000001,2,1,10.1016/j.bmcl.2013.09.008,2013,2013,13509754; 13509786,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL2441683,COc1c(F)c[n+](CCCOc2ccc3c(C)cc(=O)oc3c2)cc1F.O=S(=O)([O-])C(F)(F)F,RMKGVUWQYULRKN-UHFFFAOYSA-M,5.744999999999999,5.744999999999999,0.03535533905932725,5.72,5.77,0.04999999999999982,2,1,10.1016/j.bmcl.2013.09.008,2013,2013,13509755; 13509787,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,QYAGHNCHSVGMMO-UHFFFAOYSA-N,5.494999999999999,5.494999999999999,0.03535533905932725,5.47,5.52,0.04999999999999982,2,2,10.1016/j.ejmech.2018.01.003; 10.1021/jm7009364,2008,2018,2077387; 25040044,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL2441684,COc1c(F)c[n+](CCCCCOc2ccc3c(C)cc(=O)oc3c2)cc1F.O=S(=O)([O-])C(F)(F)F,ZMKVQRBBDBSXEZ-UHFFFAOYSA-M,6.325,6.325,0.007071067811865324,6.32,6.33,0.009999999999999787,2,1,10.1016/j.bmcl.2013.09.008,2013,2013,13509753; 13509785,False,1
ACHE_HUMAN_IC50,Human AChE,primary,CHEMBL220,Acetylcholinesterase,Homo sapiens,IC50,CHEMBL340625,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,XVJDMVSHDMGRQA-UHFFFAOYSA-N,8.24,8.24,0.0,8.24,8.24,0.0,2,2,10.1007/s00044-010-9373-7; 10.1016/j.ejmech.2009.12.038,2010,2011,12427229; 3316260,False,1
